Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments
Fall ,15/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1283,1.1%,14,2.16,30,5,59.14,94,16,2
Fall ,16/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1618,1.9%,31,0.93,29,1,124.99,100,14,8
Fall ,17/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1648,1.5%,25,0.87,21,5,77.28,78,20,0
Fall ,18/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1359,1.5%,20,1.70,34,9,150.53,65,13,8
Fall ,19/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1047,1.0%,10,1.82,19,4,222.43,70,19,12
Fall ,20/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1419,1.9%,27,0.81,22,2,184.80,102,11,5
Fall ,21/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1804,1.2%,21,1.70,36,8,197.57,95,11,3
Fall ,22/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1619,1.8%,28,0.91,26,5,36.48,81,6,8
Fall ,23/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1064,1.5%,16,1.30,21,3,17.28,66,13,11
Fall ,24/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1869,1.7%,32,0.54,17,6,229.82,114,12,15
Fall ,25/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1700,1.9%,32,2.08,66,1,12.48,71,3,3
Fall ,26/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1147,1.6%,18,1.84,34,2,66.53,98,14,9
Fall ,27/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1612,1.2%,20,1.56,31,4,215.71,71,22,14
Fall ,28/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1662,1.7%,29,0.87,25,3,219.74,72,8,6
Fall ,29/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1035,1.1%,11,1.51,17,2,59.81,71,12,14
Fall ,30/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1561,1.1%,17,2.07,35,4,288.96,91,19,5
Fall ,31/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1266,1.3%,16,1.27,21,1,94.08,98,24,15
Fall ,01/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1048,1.1%,11,2.13,24,2,157.25,63,14,2
Fall ,02/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1191,1.3%,15,1.32,20,3,116.26,89,14,11
Fall ,03/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1663,1.6%,26,2.16,56,1,109.54,77,20,12
Fall ,04/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1004,1.6%,16,0.98,16,6,50.88,93,13,15
Fall ,05/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1869,1.5%,29,0.71,21,4,111.55,73,8,11
Fall ,06/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1384,1.2%,16,2.07,34,4,36.48,75,21,3
Fall ,07/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1976,1.4%,28,2.28,63,3,0.96,90,17,14
Fall ,08/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1636,1.0%,16,1.55,24,9,92.06,88,6,8
Fall ,09/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1969,1.4%,28,0.86,24,8,265.44,106,17,5
Fall ,10/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1360,1.1%,15,2.15,33,7,182.78,79,16,6
Fall ,11/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1922,1.1%,21,1.33,28,2,299.71,88,18,12
Fall ,12/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1650,1.1%,18,0.83,15,4,272.83,100,24,3
Fall ,13/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1802,1.1%,20,1.06,21,6,168.67,82,13,8
Fall ,14/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1503,1.6%,24,2.01,47,7,311.14,85,14,11
Fall ,15/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1674,1.4%,24,1.53,36,5,112.22,62,13,12
Fall ,16/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1531,1.7%,26,1.10,29,7,120.96,90,16,6
Fall ,17/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1269,1.2%,15,1.58,24,2,236.54,94,25,6
Fall ,18/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1865,1.5%,29,1.99,57,7,235.20,99,16,12
Fall ,19/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1818,1.5%,28,2.02,56,2,382.37,75,24,11
Fall ,20/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1934,1.4%,28,0.98,27,3,47.71,102,18,12
Fall ,21/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1491,1.6%,24,1.22,30,6,59.14,63,14,14
Fall ,22/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1686,1.6%,26,2.20,57,4,139.78,105,8,0
Fall ,23/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1829,1.9%,34,0.86,29,6,204.29,97,8,12
Fall ,24/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1420,1.7%,25,1.78,44,2,166.66,105,18,8
Fall ,25/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1754,1.2%,21,2.02,43,1,264.77,48,14,11
Fall ,26/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1324,1.7%,22,2.02,45,5,178.75,113,19,15
Fall ,27/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1471,1.3%,19,1.97,37,2,79.30,68,10,6
Fall ,28/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1664,1.8%,30,0.66,20,6,309.79,97,14,9
Fall ,29/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1679,1.1%,18,1.20,21,7,216.38,110,14,3
Fall ,30/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1273,1.6%,21,1.87,39,2,129.02,80,13,3
Spring ,01/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1898.6,1.5%,28,0.61,17,2,184.80,52,1,11
Spring ,02/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1158.8,1.9%,21,0.56,12,6,151.20,39,0,5
Spring ,03/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1243.2,1.1%,14,1.25,17,3,268.80,52,2,8
Spring ,04/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1622.4,1.7%,27,1.46,39,7,88.70,94,8,12
Spring ,05/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1230.2,1.3%,16,0.25,4,6,94.08,50,1,12
Spring ,06/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1371,2.0%,27,1.82,49,1,218.40,51,6,17
Spring ,07/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1269.2,1.3%,17,0.33,6,3,48.96,79,11,6
Spring ,08/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1478.6,1.4%,21,1.17,24,3,155.23,76,2,14
Spring ,09/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1120,1.2%,14,1.68,23,7,76.61,37,3,9
Spring ,10/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,947.2,1.6%,15,0.63,10,4,145.15,66,12,14
Spring ,11/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1673.8,1.6%,27,0.33,9,3,145.15,68,13,18
Spring ,12/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1075.4,2.0%,22,1.04,23,6,88.70,32,0,11
Spring ,13/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1549,2.2%,34,2.09,71,2,79.30,82,3,5
Spring ,14/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1689.2,2.1%,35,0.60,21,8,59.52,63,2,9
Spring ,15/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1215.6,1.4%,17,0.79,14,9,69.89,52,3,18
Spring ,16/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1394.8,1.5%,20,1.86,38,8,56.64,51,11,14
Spring ,17/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1122.4,1.4%,16,1.04,17,4,118.27,77,9,11
Spring ,18/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1665.2,1.5%,25,0.71,18,4,34.56,54,12,15
Spring ,19/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1523.4,1.7%,26,2.06,53,2,37.44,70,0,9
Spring ,20/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1211.4,1.2%,15,1.62,24,8,53.76,48,10,14
Spring ,21/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1404.6,1.9%,26,1.32,35,2,255.36,66,7,5
Spring ,22/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1924.2,1.8%,35,0.45,16,8,102.82,75,2,9
Spring ,23/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1353.6,1.8%,24,1.29,31,2,174.72,47,2,3
Spring ,24/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1094.4,1.3%,14,1.81,26,4,68.54,43,12,5
Spring ,25/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1516.2,1.9%,29,0.55,16,2,96.10,74,2,6
Spring ,26/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1586.6,1.9%,30,1.23,37,7,20.16,46,0,8
Spring ,27/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1264.4,1.4%,18,0.86,15,8,164.64,85,8,8
Spring ,28/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1153.6,1.0%,12,1.02,12,6,88.70,61,2,12
Spring ,29/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1635.6,1.0%,17,0.48,8,7,120.96,61,9,3
Spring ,30/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1258.8,1.2%,16,1.18,18,2,15.36,48,2,14
Spring ,31/03/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1473.2,1.8%,26,0.52,14,8,35.52,79,3,12
Spring ,01/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1777.6,1.3%,24,1.66,39,9,93.41,73,8,9
Spring ,02/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1498,1.2%,18,0.75,13,6,26.88,77,8,9
Spring ,03/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1168.8,2.0%,24,0.86,20,8,119.62,81,2,6
Spring ,04/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1553,1.0%,16,1.74,27,4,235.20,66,2,8
Spring ,05/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1373.2,1.5%,21,0.83,17,4,71.23,56,8,12
Spring ,06/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1762.4,1.0%,17,1.84,32,5,45.12,85,6,12
Spring ,07/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1180.4,1.7%,20,1.37,27,1,216.38,68,8,14
Spring ,08/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1437.4,1.6%,23,1.86,42,5,83.33,59,1,15
Spring ,09/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1735,1.6%,27,1.85,50,8,7.68,88,11,8
Spring ,10/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1513.6,1.6%,24,1.83,44,4,43.68,64,8,18
Spring ,11/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1319.8,1.7%,22,1.70,38,5,20.16,40,13,15
Spring ,12/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1449.4,1.3%,18,0.52,10,4,83.33,54,1,15
Spring ,13/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1263.2,1.2%,16,0.95,15,7,44.16,75,2,12
Spring ,14/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1252.6,1.5%,19,0.93,18,3,132.38,76,12,9
Spring ,15/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1309.2,1.8%,23,0.66,15,5,20.16,36,6,8
Spring ,16/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1613.8,1.9%,30,0.91,27,6,135.74,89,12,14
Spring ,17/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1652.8,1.8%,30,1.92,57,5,48.38,50,5,14
Spring ,18/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1547.2,1.3%,20,1.35,27,5,108.19,96,8,5
Spring ,19/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1077.6,1.1%,11,1.54,18,3,135.07,85,7,11
Spring ,20/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1535.2,1.6%,24,1.86,45,6,281.57,89,12,8
Spring ,21/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1223.8,1.3%,16,1.84,29,7,170.69,72,3,11
Spring ,22/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1237.4,1.5%,19,0.87,17,0,96.10,67,6,5
Spring ,23/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1219.4,1.5%,18,1.94,34,0,273.50,90,8,3
Spring ,24/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,994.2,1.3%,13,1.04,14,6,155.23,85,16,18
Spring ,25/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1922.2,1.2%,24,0.67,16,5,147.84,99,3,6
Spring ,26/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1536.4,1.2%,19,0.55,11,4,98.11,52,10,8
Spring ,27/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1440.8,1.8%,26,1.86,48,5,231.17,60,2,14
Spring ,28/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,949.6,1.7%,16,0.82,13,3,115.58,83,13,14
Spring ,29/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1523.4,1.6%,24,2.16,52,5,229.15,77,12,9
Spring ,30/04/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1487,2.0%,29,2.24,65,1,135.07,99,10,6
Spring ,01/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1647.4,1.5%,25,1.38,34,7,125.66,59,6,6
Spring ,02/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1395.2,1.4%,20,1.29,26,4,101.47,61,15,6
Spring ,03/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1696,1.6%,26,1.50,40,4,120.29,64,15,17
Spring ,04/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1166.6,1.7%,20,1.79,35,4,116.93,64,11,8
Spring ,05/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1141.6,1.6%,18,1.52,28,1,260.74,69,17,12
Spring ,06/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1091.4,1.7%,18,1.60,29,0,147.84,87,4,6
Spring ,07/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1800,1.8%,33,1.15,38,6,124.99,83,5,9
Spring ,08/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1109,1.9%,21,1.25,27,2,180.77,92,14,2
Spring ,09/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1355.6,1.9%,26,1.22,32,1,118.94,73,13,6
Spring ,10/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1795.4,1.6%,29,1.01,30,5,154.56,73,16,17
Spring ,11/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1744.8,1.2%,22,0.90,19,7,39.36,78,12,8
Spring ,12/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1241.6,1.7%,21,1.75,37,0,43.68,79,4,5
Spring ,13/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1133.4,1.1%,12,1.10,14,7,120.96,91,4,14
Spring ,14/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1050.2,1.2%,12,1.52,19,5,208.32,79,13,12
Spring ,15/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1607.6,1.0%,16,2.33,38,3,282.24,83,6,14
Spring ,16/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1060,1.5%,16,2.09,34,4,102.14,89,2,3
Spring ,17/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1245.4,1.3%,16,1.38,22,5,241.92,101,8,14
Spring ,18/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1297.4,1.7%,22,1.82,41,0,262.08,93,16,9
Spring ,19/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1379.6,1.4%,20,2.25,44,3,53.76,72,16,8
Spring ,20/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1485,1.2%,18,1.45,26,7,64.51,51,8,11
Spring ,21/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1323.6,1.5%,19,2.10,41,6,65.86,48,17,17
Spring ,22/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1465.8,1.1%,16,0.51,8,2,153.22,67,5,6
Spring ,23/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1410.6,1.0%,15,2.36,34,3,44.16,98,9,17
Spring ,24/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1567.2,1.4%,22,1.08,24,3,143.14,54,13,11
Spring ,25/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1735.4,1.2%,21,2.30,48,2,91.39,72,2,11
Spring ,26/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1618.8,1.6%,26,1.71,44,2,44.16,72,9,8
Spring ,27/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1279,1.2%,15,0.58,9,1,145.15,85,6,12
Spring ,28/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1470,1.4%,20,0.87,17,2,165.31,88,13,14
Spring ,29/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1227,1.3%,16,1.17,19,2,110.21,89,16,12
Spring ,30/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1808.6,1.3%,23,2.04,47,5,59.52,59,11,11
Spring ,31/05/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1396.4,1.5%,21,1.05,22,2,201.60,87,3,8
Summer ,01/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1327.9,1.1%,15,2.06,31,4,259.39,83,16,18
Summer ,02/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,916.3,1.0%,9,2.12,19,5,184.80,80,9,11
Summer ,03/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1135.4,1.7%,19,0.75,14,3,82.66,96,7,5
Summer ,04/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1393,1.8%,25,2.13,52,7,111.55,67,13,11
Summer ,05/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,924.7,1.9%,17,0.86,15,7,88.70,66,22,14
Summer ,06/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1261.4,1.7%,22,0.78,17,5,52.42,45,2,18
Summer ,07/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1064,1.2%,13,1.32,17,8,90.72,75,5,17
Summer ,08/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,707.7,1.1%,8,1.76,14,2,60.48,96,21,17
Summer ,09/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,875.7,1.2%,11,1.21,13,7,15.36,92,16,9
Summer ,10/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1017.8,0.9%,10,0.79,8,3,9.60,83,13,3
Summer ,11/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1311.1,1.1%,15,0.51,7,5,19.20,72,11,17
Summer ,12/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,735.7,1.0%,8,1.35,10,6,28.80,81,17,24
Summer ,13/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,916.3,1.2%,11,0.51,6,5,77.95,83,15,15
Summer ,14/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,916.3,1.8%,17,2.12,35,4,101.47,82,15,2
Summer ,15/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1089.9,1.3%,14,1.81,25,8,290.30,87,4,9
Summer ,16/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1225,1.4%,17,1.98,33,8,28.80,95,9,20
Summer ,17/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1263.5,1.3%,17,1.12,19,6,64.51,80,11,6
Summer ,18/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,737.8,1.3%,9,2.02,19,3,114.91,71,8,9
Summer ,19/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1280.3,1.7%,22,2.06,46,4,159.94,99,8,18
Summer ,20/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1003.1,1.1%,11,2.24,25,7,83.33,95,13,18
Summer ,21/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,877.1,1.5%,13,1.87,24,3,49.06,94,12,14
Summer ,22/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,781.2,1.3%,10,1.69,18,5,123.65,82,13,3
Summer ,23/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1061.9,1.4%,15,1.51,23,5,149.18,77,4,15
Summer ,24/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,727.3,1.6%,12,1.25,15,7,301.73,103,20,11
Summer ,25/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1005.2,1.7%,17,2.33,40,7,258.05,90,9,15
Summer ,26/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,917.7,1.5%,14,1.17,16,6,303.74,89,7,20
Summer ,27/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,884.8,1.1%,10,1.94,19,5,393.79,69,6,11
Summer ,28/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,716.8,1.2%,9,2.29,20,5,278.21,109,7,8
Summer ,29/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1256.5,1.1%,13,2.12,28,3,310.46,71,10,21
Summer ,30/06/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1178.8,1.3%,15,2.27,34,10,348.77,88,13,23
Summer ,01/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1022.7,1.2%,13,1.35,17,3,213.70,53,15,5
Summer ,02/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1029,1.4%,14,0.59,8,3,204.96,54,13,17
Summer ,03/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1306.9,1.5%,19,1.22,23,5,68.54,104,14,14
Summer ,04/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,794.5,1.4%,11,0.54,6,7,198.91,75,20,17
Summer ,05/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,706.3,1.1%,8,1.14,9,8,122.30,65,15,8
Summer ,06/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1259.3,1.6%,21,1.60,33,3,149.86,63,16,18
Summer ,07/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,849.1,1.3%,11,1.16,13,9,370.27,67,6,15
Summer ,08/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1247.4,1.2%,15,1.40,20,9,262.75,48,4,11
Summer ,09/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,788.9,1.1%,9,1.09,10,9,73.25,102,13,11
Summer ,10/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,985.6,1.4%,13,1.23,16,3,210.34,73,1,5
Summer ,11/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1121.4,1.8%,20,1.12,22,2,183.46,76,6,8
Summer ,12/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,851.9,1.4%,12,1.55,19,8,215.04,54,8,6
Summer ,13/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,954.8,1.5%,14,1.43,21,8,96.10,66,8,12
Summer ,14/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1150.1,1.4%,16,1.43,22,8,176.06,68,22,9
Summer ,15/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1276.8,1.3%,17,1.38,23,10,229.15,58,15,18
Summer ,16/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1262.1,1.6%,20,2.10,42,2,159.60,66,16,23
Summer ,17/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1060.5,1.5%,15,0.78,12,7,317.52,78,4,12
Summer ,18/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1036.7,1.6%,16,1.21,20,7,199.08,50,6,5
Summer ,19/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1150.8,1.1%,13,2.23,29,5,327.60,68,1,14
Summer ,20/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1166.9,1.5%,17,1.56,26,1,264.60,40,6,21
Summer ,21/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,837.2,1.5%,12,0.43,5,9,77.28,61,9,14
Summer ,22/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,708.4,1.2%,8,0.77,6,6,226.80,30,8,18
Summer ,23/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1099,1.8%,20,1.43,29,3,98.28,42,3,15
Summer ,24/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,791,1.1%,9,2.24,20,4,80.64,32,3,15
Summer ,25/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1320.9,1.2%,15,1.92,29,7,51.60,47,1,18
Summer ,26/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,800.1,1.1%,9,1.08,10,7,115.92,37,2,15
Summer ,27/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1124.2,1.2%,13,0.64,8,4,53.76,69,3,15
Summer ,28/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1344.7,1.1%,15,1.62,25,1,201.60,77,2,11
Summer ,29/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1038.8,1.3%,14,1.73,24,1,388.08,57,2,15
Summer ,30/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,800.1,1.7%,14,0.97,13,7,54.00,40,4,18
Summer ,31/07/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,1055.6,1.1%,12,1.02,12,2,201.60,32,10,24
Summer ,01/08/2023,London,51.50735,-0.12776,Facebook,Desktop,Discount,811.3,1.0%,8,1.70,14,9,229.32,62,6,20
